From	To
Q6DF94	spice1
O61749	F37F2.2
Q2KHZ9	GCDH
Q15397	PUM3
P81139	PNLIPRP2
Q6GLB5	elavl1
Q13351	KLF1
Q16739	UGCG
Q9BUJ2	HNRNPUL1
Q5ZLN0	LRRC40
Q5XJN2	ifi30
Q9XT62	RAD17
P27791	Prkaca
Q5R7Z9	HMGCS1
P90789	ndub-7
Q7Z333	SETX
Q8IN35	SIFaR
Q0GGW5	STK11
Q8CFD5	Ercc8
Q9WTP7	Ak3
P26262	Klkb1
Q5R587	POLR2E
Q6DC04	carm1
Q96LT7	C9orf72
O57525	CYP17A1
Q9Z2X8	Keap1
Q6PB03	pld3
Q924U5	Tesk2
O60931	CTNS
E7E2N8	ifi30
P41240	CSK
A3KMV2	RAD23A
Q0VFT9	trappc13
O15974	SCOP2
P70032	plk1
Q0P5N6	ARL16
Q9VE04	mRpL55
D3ZGQ5	Nek8
A7MBJ4	PTPRF
A6QNK1	GAL3ST1
Q28GD4	elavl2
Q9QYM7	ERCC4
Q13332	PTPRS
Q7SZC5	ndc1
Q96RT1	ERBIN
Q6P0I8	exosc6
Q8BYK4	Rdh12
Q9H0A0	NAT10
Q64487	Ptprd
Q96MC6	MFSD14A
Q3B8D7	Dynlt5-a
P02498	CRYAA
Q2KIL7	R3HDM4
E7FDB3	nanos1
Q8BU04	Ubr7
Q0P5I6	PRPF38A
P53702	Hccs
Q8BFR6	Zfand1
Q96N67	DOCK7
Q9ES56	Trappc4
Q96MR6	CFAP57
Q5ZJN0	ASNSD1
P0CB50	PRDX1
Q6PDX6	Rnf220
Q7Z442	PKD1L2
Q5RBL9	RTN3
Q0JRZ9	FCHO2
Q7TSN4	Pigw
O70497	Fcn2
P29413	Calr
Q92530	PSMF1
P20735	GGT1
Q8BGJ0	Zdhhc15
Q8TEK3	DOT1L
Q18248	dmd-4
P53349	Map3k1
Q9FT74	RECQL1
Q3ZBL9	CCNH
Q96SU4	OSBPL9
Q9QYK7	Rnf11
Q7T070	rhbg
Q29RZ2	PPWD1
Q9V8P9	Topors
Q9BV38	WDR18
Q2YMB3	nhaA
Q04998	Inhba
P16051	gpaB
Q7TT28	Rexo1
Q08DP0	PGM1
Q8WW35	DYNLT2B
P00184	Cyp1a1
A3KMX0	ERCC6L2
P55809	OXCT1
Q6ZUT1	NKAPD1
O88956	PLPP1
Q6WRY0	rhcg
