,Sub_cell_type,Broad_cell_type
1_CELL885_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL886_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL890_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL892_N3,GA_4,"GA, Gastrodermal cell"
1_CELL894_N4,GA_1,"GA, Gastrodermal cell"
1_CELL895_N3,GA_2,"GA, Gastrodermal cell"
1_CELL896_N3,NE_2,"NE, Neural cell"
1_CELL897_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL899_N3,HA,"HA, Hair cell"
1_CELL900_N2,GA_4,"GA, Gastrodermal cell"
1_CELL902_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL904_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL905_N6,EM_1,"EM, Epidermal/Muscle cell"
1_CELL906_N2,GA_1,"GA, Gastrodermal cell"
1_CELL909_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL910_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL912_N3,SG_1,"SG, Stem/Germline cell"
1_CELL913_N3,NE_2,"NE, Neural cell"
1_CELL914_N2,SG_1,"SG, Stem/Germline cell"
1_CELL915_N2,GA_3,"GA, Gastrodermal cell"
1_CELL916_N2,GA_1,"GA, Gastrodermal cell"
1_CELL917_N3,GL_1,"GL, Gland cell"
1_CELL919_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL922_N3,GA_2,"GA, Gastrodermal cell"
1_CELL928_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL929_N2,GL_2,"GL, Gland cell"
1_CELL931_N2,GA_2,"GA, Gastrodermal cell"
1_CELL932_N5,EM_1,"EM, Epidermal/Muscle cell"
1_CELL935_N2,GA_3,"GA, Gastrodermal cell"
1_CELL936_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL937_N2,NE_3,"NE, Neural cell"
1_CELL941_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL942_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL943_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL945_N2,GA_4,"GA, Gastrodermal cell"
1_CELL946_N2,HA,"HA, Hair cell"
1_CELL947_N3,HA,"HA, Hair cell"
1_CELL948_N3,NE_4,"NE, Neural cell"
1_CELL949_N3,HA,"HA, Hair cell"
1_CELL952_N3,NE_4,"NE, Neural cell"
1_CELL956_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL957_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL958_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL960_N6,NE_1,"NE, Neural cell"
1_CELL962_N3,GA_4,"GA, Gastrodermal cell"
1_CELL964_N5,HA,"HA, Hair cell"
1_CELL965_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL966_N4,SG_1,"SG, Stem/Germline cell"
1_CELL975_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL976_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL978_N2,GA_2,"GA, Gastrodermal cell"
1_CELL982_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL985_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL986_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL987_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL991_N3,GA_1,"GA, Gastrodermal cell"
1_CELL992_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL994_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL998_N4,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL999_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1000_N2,GL_1,"GL, Gland cell"
1_CELL1002_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1007_N3,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL1009_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1010_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1011_N4,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL1013_N2,NE_1,"NE, Neural cell"
1_CELL1016_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1021_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL1026_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1030_N2,HA,"HA, Hair cell"
1_CELL1031_N3,HA,"HA, Hair cell"
1_CELL1032_N2,GA_4,"GA, Gastrodermal cell"
1_CELL1033_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1034_N2,SG_1,"SG, Stem/Germline cell"
1_CELL1036_N2,NE_2,"NE, Neural cell"
1_CELL1040_N4,SG_2,"SG, Stem/Germline cell"
1_CELL1041_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1043_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1048_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1049_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL1050_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1053_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL1056_N2,HA,"HA, Hair cell"
1_CELL1057_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL1059_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1061_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1062_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1064_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1068_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1069_N3,GA_2,"GA, Gastrodermal cell"
1_CELL1070_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1071_N5,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1072_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1074_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL1081_N4,NE_3,"NE, Neural cell"
1_CELL1082_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1083_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1088_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1090_N4,SG_1,"SG, Stem/Germline cell"
1_CELL1091_N3,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL1095_N5,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1096_N3,GA_2,"GA, Gastrodermal cell"
1_CELL1097_N4,GA_2,"GA, Gastrodermal cell"
1_CELL1098_N2,GA_4,"GA, Gastrodermal cell"
1_CELL1100_N3,HA,"HA, Hair cell"
1_CELL1101_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1104_N4,SG_3,"SG, Stem/Germline cell"
1_CELL1107_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1108_N2,HA,"HA, Hair cell"
1_CELL1109_N2,HA,"HA, Hair cell"
1_CELL1114_N2,NE_1,"NE, Neural cell"
1_CELL1116_N4,GA_1,"GA, Gastrodermal cell"
1_CELL1117_N2,NE_1,"NE, Neural cell"
1_CELL1118_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1120_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1122_N3,SG_1,"SG, Stem/Germline cell"
1_CELL1126_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL1130_N4,GA_2,"GA, Gastrodermal cell"
1_CELL1131_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1133_N5,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1136_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1137_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1141_N3,GA_2,"GA, Gastrodermal cell"
1_CELL1142_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1143_N2,NE_2,"NE, Neural cell"
1_CELL1144_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1145_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1149_N2,GA_3,"GA, Gastrodermal cell"
1_CELL1151_N2,GA_5,"GA, Gastrodermal cell"
1_CELL1153_N2,SG_4,"SG, Stem/Germline cell"
1_CELL1154_N2,NE_2,"NE, Neural cell"
1_CELL1157_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1158_N2,GL_3,"GL, Gland cell"
1_CELL1159_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL1160_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1162_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1166_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1167_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1168_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1170_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1171_N3,NE_4,"NE, Neural cell"
1_CELL1172_N4,GA_1,"GA, Gastrodermal cell"
1_CELL1173_N2,SG_1,"SG, Stem/Germline cell"
1_CELL1175_N2,NE_4,"NE, Neural cell"
1_CELL1179_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1182_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1183_N3,GA_2,"GA, Gastrodermal cell"
1_CELL1184_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1186_N2,NE_1,"NE, Neural cell"
1_CELL1187_N2,NE_4,"NE, Neural cell"
1_CELL1188_N2,GA_2,"GA, Gastrodermal cell"
1_CELL1192_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL1195_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1198_N2,SG_3,"SG, Stem/Germline cell"
1_CELL1200_N3,SG_1,"SG, Stem/Germline cell"
1_CELL1202_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1203_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1205_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL1208_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1210_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1221_N5,HA,"HA, Hair cell"
1_CELL1222_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL1223_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1225_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1226_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1229_N3,NE_1,"NE, Neural cell"
1_CELL1233_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1234_N2,SG_3,"SG, Stem/Germline cell"
1_CELL1236_N2,GL_2,"GL, Gland cell"
1_CELL1238_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1239_N3,GA_4,"GA, Gastrodermal cell"
1_CELL1240_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1243_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1245_N3,SG_2,"SG, Stem/Germline cell"
1_CELL1248_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1249_N2,HA,"HA, Hair cell"
1_CELL1250_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1252_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1253_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1255_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1256_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1257_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1258_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1264_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1266_N4,NE_3,"NE, Neural cell"
1_CELL1267_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1268_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1273_N2,GL_2,"GL, Gland cell"
1_CELL1275_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1276_N3,GA_2,"GA, Gastrodermal cell"
1_CELL1278_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1279_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1282_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1283_N2,GA_3,"GA, Gastrodermal cell"
1_CELL1284_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1285_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1287_N2,GL_3,"GL, Gland cell"
1_CELL1288_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1290_N2,NE_3,"NE, Neural cell"
1_CELL1293_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1294_N2,NE_3,"NE, Neural cell"
1_CELL1295_N3,GA_3,"GA, Gastrodermal cell"
1_CELL1297_N5,GA_4,"GA, Gastrodermal cell"
1_CELL1298_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1304_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1306_N3,NE_2,"NE, Neural cell"
1_CELL1309_N4,GA_2,"GA, Gastrodermal cell"
1_CELL1311_N3,NE_2,"NE, Neural cell"
1_CELL1315_N3,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL1317_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1321_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1325_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1328_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1329_N2,GA_3,"GA, Gastrodermal cell"
1_CELL1330_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1331_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1332_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL1333_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1334_N3,NE_3,"NE, Neural cell"
1_CELL1335_N3,GA_4,"GA, Gastrodermal cell"
1_CELL1336_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1337_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1338_N2,NE_3,"NE, Neural cell"
1_CELL1339_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1342_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1345_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1346_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1349_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL1350_N4,GA_1,"GA, Gastrodermal cell"
1_CELL1351_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL1353_N3,GA_4,"GA, Gastrodermal cell"
1_CELL1354_N3,GL_3,"GL, Gland cell"
1_CELL1357_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1359_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1360_N2,NE_2,"NE, Neural cell"
1_CELL1363_N2,NE_3,"NE, Neural cell"
1_CELL1364_N3,NE_1,"NE, Neural cell"
1_CELL1365_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1366_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1367_N2,GL_1,"GL, Gland cell"
1_CELL1369_N4,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL1370_N2,HA,"HA, Hair cell"
1_CELL1371_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1372_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1373_N3,SG_3,"SG, Stem/Germline cell"
1_CELL1379_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1380_N3,GL_1,"GL, Gland cell"
1_CELL1383_N2,NE_4,"NE, Neural cell"
1_CELL1385_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1386_N3,HA,"HA, Hair cell"
1_CELL1388_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1390_N5,GA_2,"GA, Gastrodermal cell"
1_CELL1392_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1393_N2,GA_3,"GA, Gastrodermal cell"
1_CELL1396_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1397_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1399_N3,NE_1,"NE, Neural cell"
1_CELL1402_N2,SG_1,"SG, Stem/Germline cell"
1_CELL1403_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1405_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1410_N5,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1411_N3,GL_3,"GL, Gland cell"
1_CELL1412_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1413_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1416_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1418_N2,GA_4,"GA, Gastrodermal cell"
1_CELL1420_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1424_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1425_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL1426_N2,GA_3,"GA, Gastrodermal cell"
1_CELL1429_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1430_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1431_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1433_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1434_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1435_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1436_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1437_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1438_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1440_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1441_N2,GA_2,"GA, Gastrodermal cell"
1_CELL1442_N3,GA_2,"GA, Gastrodermal cell"
1_CELL1443_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1445_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1447_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1448_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1449_N5,GA_2,"GA, Gastrodermal cell"
1_CELL1450_N2,SG_1,"SG, Stem/Germline cell"
1_CELL1453_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1454_N2,GA_5,"GA, Gastrodermal cell"
1_CELL1455_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1456_N2,NE_2,"NE, Neural cell"
1_CELL1458_N2,SG_1,"SG, Stem/Germline cell"
1_CELL1459_N6,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1462_N2,SG_2,"SG, Stem/Germline cell"
1_CELL1463_N2,GL_1,"GL, Gland cell"
1_CELL1471_N3,SG_2,"SG, Stem/Germline cell"
1_CELL1474_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL1476_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1478_N2,GL_1,"GL, Gland cell"
1_CELL1479_N2,NE_1,"NE, Neural cell"
1_CELL1480_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1481_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1485_N3,GA_4,"GA, Gastrodermal cell"
1_CELL1486_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1488_N5,GA_1,"GA, Gastrodermal cell"
1_CELL1489_N2,SG_3,"SG, Stem/Germline cell"
1_CELL1491_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1492_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1493_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1494_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1496_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1499_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1501_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1503_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1505_N3,GA_4,"GA, Gastrodermal cell"
1_CELL1507_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1508_N2,GL_1,"GL, Gland cell"
1_CELL1509_N3,NE_1,"NE, Neural cell"
1_CELL1510_N4,SG_3,"SG, Stem/Germline cell"
1_CELL1512_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1513_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1516_N1,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1519_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1520_N3,GA_3,"GA, Gastrodermal cell"
1_CELL1522_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1526_N4,GA_1,"GA, Gastrodermal cell"
1_CELL1529_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1530_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1531_N2,GA_4,"GA, Gastrodermal cell"
1_CELL1532_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1538_N5,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1539_N3,NE_4,"NE, Neural cell"
1_CELL1542_N2,GL_2,"GL, Gland cell"
1_CELL1543_N2,SG_1,"SG, Stem/Germline cell"
1_CELL1545_N2,HA,"HA, Hair cell"
1_CELL1546_N3,HA,"HA, Hair cell"
1_CELL1549_N2,NE_2,"NE, Neural cell"
1_CELL1552_N2,HA,"HA, Hair cell"
1_CELL1554_N3,HA,"HA, Hair cell"
1_CELL1556_N2,SG_2,"SG, Stem/Germline cell"
1_CELL1557_N2,GA_4,"GA, Gastrodermal cell"
1_CELL1560_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1563_N3,GL_3,"GL, Gland cell"
1_CELL1565_N3,NE_1,"NE, Neural cell"
1_CELL1566_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1567_N3,HA,"HA, Hair cell"
1_CELL1576_N3,GL_2,"GL, Gland cell"
1_CELL1578_N3,NE_3,"NE, Neural cell"
1_CELL1581_N4,GA_2,"GA, Gastrodermal cell"
1_CELL1583_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1584_N3,GL_1,"GL, Gland cell"
1_CELL1587_N2,GL_1,"GL, Gland cell"
1_CELL1589_N3,GA_4,"GA, Gastrodermal cell"
1_CELL1593_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1596_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1597_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1598_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1599_N3,HA,"HA, Hair cell"
1_CELL1600_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1601_N3,NE_3,"NE, Neural cell"
1_CELL1603_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1605_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1606_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL1613_N4,SG_1,"SG, Stem/Germline cell"
1_CELL1614_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL1617_N4,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL1618_N2,SG_1,"SG, Stem/Germline cell"
1_CELL1619_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1620_N2,SG_2,"SG, Stem/Germline cell"
1_CELL1621_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1626_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1627_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1629_N2,GA_4,"GA, Gastrodermal cell"
1_CELL1631_N2,NE_2,"NE, Neural cell"
1_CELL1632_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1636_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1637_N4,GA_1,"GA, Gastrodermal cell"
1_CELL1639_N6,HA,"HA, Hair cell"
1_CELL1646_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1648_N2,GA_2,"GA, Gastrodermal cell"
1_CELL1653_N1,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1654_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1655_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1656_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1660_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1662_N4,SG_1,"SG, Stem/Germline cell"
1_CELL1663_N3,GL_1,"GL, Gland cell"
1_CELL1664_N2,NE_4,"NE, Neural cell"
1_CELL1667_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1670_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1671_N2,GA_3,"GA, Gastrodermal cell"
1_CELL1672_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1673_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1674_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL1677_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1679_N2,SG_1,"SG, Stem/Germline cell"
1_CELL1682_N4,NE_3,"NE, Neural cell"
1_CELL1683_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL1684_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1686_N4,GA_1,"GA, Gastrodermal cell"
1_CELL1691_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1692_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1693_N2,GA_3,"GA, Gastrodermal cell"
1_CELL1694_N2,NE_2,"NE, Neural cell"
1_CELL1695_N3,GA_2,"GA, Gastrodermal cell"
1_CELL1696_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1699_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1700_N2,NE_3,"NE, Neural cell"
1_CELL1701_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1702_N2,GA_1,"GA, Gastrodermal cell"
1_CELL1704_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1705_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1706_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1707_N3,SG_3,"SG, Stem/Germline cell"
1_CELL1708_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1710_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1711_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1712_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1713_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1714_N2,GL_2,"GL, Gland cell"
1_CELL1715_N2,SG_4,"SG, Stem/Germline cell"
1_CELL1717_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1719_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL1725_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1728_N3,GA_1,"GA, Gastrodermal cell"
1_CELL1729_N3,NE_2,"NE, Neural cell"
1_CELL1731_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1732_N4,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL1733_N3,NE_1,"NE, Neural cell"
1_CELL1734_N2,NE_2,"NE, Neural cell"
1_CELL1736_N2,NE_4,"NE, Neural cell"
1_CELL1737_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1740_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1742_N3,GA_2,"GA, Gastrodermal cell"
1_CELL1743_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL1746_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL1747_N3,SG_1,"SG, Stem/Germline cell"
1_CELL1748_N3,EM_1,"EM, Epidermal/Muscle cell"
