"","tSNE_1","tSNE_2"
"1_CELL878_N2",-3.01023235480637,18.5938579737042
"1_CELL880_N2",17.8445774583899,-24.2922878148538
"1_CELL881_N3",0.568634772406617,-7.1709813358621
"1_CELL882_N2",39.4206470545471,10.4718837136666
"1_CELL883_N2",-35.2440514184629,-9.30544693921951
"1_CELL884_N3",-1.22672626872128,19.7139584136504
"1_CELL885_N2",-3.78059715616973,-0.145762997028975
"1_CELL886_N3",7.05841548048841,-11.793311073096
"1_CELL890_N2",-4.30245081404394,13.9629744628019
"1_CELL892_N3",-24.913937644177,-20.8247659548013
"1_CELL894_N4",-12.1766204240268,-9.66584050902136
"1_CELL895_N3",-12.5954098992326,-27.0706717921406
"1_CELL896_N3",25.4776759126426,-11.4282296828236
"1_CELL897_N2",-3.86216961464637,19.1731795173732
"1_CELL899_N3",22.3190024703676,27.9593735515014
"1_CELL900_N2",-25.3697634407073,-19.3985548467977
"1_CELL902_N4",-0.752496154392875,-3.24209280848961
"1_CELL904_N2",7.09631184570464,4.02857417330273
"1_CELL905_N6",-6.82204702203119,0.510684405025861
"1_CELL906_N2",-22.8040688030512,-17.6479710860699
"1_CELL909_N3",1.77051870330169,-5.12022331045088
"1_CELL910_N3",-1.84910339775664,0.216891444708567
"1_CELL912_N3",-22.27114798008,-2.49146440024045
"1_CELL913_N3",20.3670714066861,-6.63632359014942
"1_CELL914_N2",-15.9507355333129,5.28170971015091
"1_CELL915_N2",-39.8681753802511,-1.31136574205568
"1_CELL916_N2",-22.0710046991761,-10.4369414511394
"1_CELL917_N3",-26.2268440837804,5.17274255275828
"1_CELL919_N2",7.62254839399333,-11.7644741534778
"1_CELL922_N3",-9.19205541464809,-28.0143015530254
"1_CELL928_N2",1.00765706203676,19.0319940053971
"1_CELL929_N2",-11.3781894958036,13.0806513985886
"1_CELL931_N2",-17.5123139156357,-28.2375412647528
"1_CELL932_N5",-0.864448203608355,-19.6283607881128
"1_CELL935_N2",-41.3105990731794,8.54149375511663
"1_CELL936_N2",5.54367398698782,3.82366256976514
"1_CELL937_N2",-18.9121168941122,25.0816393327129
"1_CELL941_N2",32.5995432046889,-10.4146375344477
"1_CELL942_N3",-1.44199698854087,-11.5891246422641
"1_CELL943_N3",-8.91550753581891,34.2984960797795
"1_CELL945_N2",-25.0107032477274,-27.2443264921666
"1_CELL946_N2",30.8311356927703,21.4818622433345
"1_CELL947_N3",22.4015142938584,20.227981842505
"1_CELL948_N3",17.7608909107063,0.860898398420586
"1_CELL949_N3",27.5897154004692,27.7981457526859
"1_CELL952_N3",14.9753603124887,-1.65356222256375
"1_CELL956_N4",-9.077775686793,-4.9984746162752
"1_CELL957_N3",21.4664252207937,-27.6581198625897
"1_CELL958_N2",35.2558157250148,-6.14947180182461
"1_CELL960_N6",27.0492194818009,11.9212191220225
"1_CELL962_N3",-28.4805862928621,-28.883781201906
"1_CELL964_N5",16.1020260921096,25.9547108791971
