"","orig.ident","nCount_RNA","nFeature_RNA","batch","percent.mt","RNA_snn_res.0.6","seurat_clusters"
"1_CELL789_N2","au1",1745,700,"1",0,"1","1"
"1_CELL792_N1","au1",1360,606,"1",0,"0","0"
"1_CELL794_N3","au1",3694,977,"1",0,"2","2"
"1_CELL797_N3","au1",3100,1080,"1",0,"7","7"
"1_CELL798_N2","au1",1101,464,"1",0,"17","17"
"1_CELL801_N3","au1",4426,1109,"1",0,"0","0"
"1_CELL802_N3","au1",3087,847,"1",0,"0","0"
"1_CELL803_N4","au1",1915,664,"1",0,"13","13"
"1_CELL804_N2","au1",2650,611,"1",0,"5","5"
"1_CELL805_N5","au1",2388,751,"1",0,"0","0"
"1_CELL806_N3","au1",2212,681,"1",0,"2","2"
"1_CELL810_N4","au1",2790,897,"1",0,"5","5"
"1_CELL811_N3","au1",1487,615,"1",0,"8","8"
"1_CELL812_N2","au1",2044,456,"1",0,"18","18"
"1_CELL813_N4","au1",3818,1113,"1",0,"1","1"
"1_CELL815_N3","au1",1920,556,"1",0,"20","20"
"1_CELL816_N2","au1",2420,852,"1",0,"21","21"
"1_CELL817_N1","au1",2468,648,"1",0,"3","3"
"1_CELL819_N2","au1",2148,677,"1",0,"2","2"
"1_CELL820_N2","au1",1957,619,"1",0,"0","0"
"1_CELL821_N2","au1",5202,1299,"1",0,"3","3"
"1_CELL823_N2","au1",1284,456,"1",0,"9","9"
"1_CELL826_N5","au1",5033,1594,"1",0,"6","6"
"1_CELL828_N4","au1",2782,932,"1",0,"6","6"
"1_CELL831_N3","au1",3255,932,"1",0,"9","9"
"1_CELL834_N3","au1",5929,1225,"1",0,"0","0"
"1_CELL837_N2","au1",5122,1078,"1",0,"19","19"
"1_CELL840_N3","au1",2841,808,"1",0,"7","7"
"1_CELL842_N2","au1",2828,881,"1",0,"12","12"
"1_CELL846_N3","au1",2719,791,"1",0,"17","17"
"1_CELL849_N3","au1",2740,884,"1",0,"2","2"
"1_CELL853_N2","au1",1384,653,"1",0,"5","5"
"1_CELL854_N2","au1",2119,778,"1",0,"8","8"
"1_CELL859_N2","au1",2497,605,"1",0,"5","5"
"1_CELL860_N2","au1",1057,500,"1",0,"1","1"
"1_CELL861_N2","au1",4364,1262,"1",0,"6","6"
"1_CELL863_N2","au1",3520,964,"1",0,"0","0"
"1_CELL864_N3","au1",4758,1373,"1",0,"4","4"
"1_CELL866_N2","au1",1077,445,"1",0,"15","15"
"1_CELL868_N2","au1",1351,548,"1",0,"2","2"
"1_CELL869_N2","au1",1487,604,"1",0,"0","0"
"1_CELL870_N3","au1",1858,556,"1",0,"0","0"
"1_CELL873_N2","au1",1746,461,"1",0,"4","4"
"1_CELL874_N2","au1",4964,1103,"1",0,"2","2"
"1_CELL878_N2","au1",12487,1799,"1",0,"1","1"
"1_CELL880_N2","au1",1698,544,"1",0,"4","4"
"1_CELL881_N3","au1",2796,844,"1",0,"0","0"
"1_CELL882_N2","au1",5061,756,"1",0,"16","16"
"1_CELL883_N2","au1",2806,1023,"1",0,"20","20"
"1_CELL884_N3","au1",1224,515,"1",0,"1","1"
"1_CELL885_N2","au1",1983,555,"1",0,"0","0"
