cluster,gene,rank
6,XLOC-009420#FBX16-HUMAN#Q8IX29,44
6,XLOC-002454#RT33-MOUSE#Q9D2R8,45
6,XLOC-021645#PSB5-MOUSE#O55234,46
6,XLOC-000173#TES-CHICK#Q90YH9,47
6,XLOC-026132#SOX8-XENLA#Q6VVD7,48
6,XLOC-008037#ERAP1-RAT#Q9JJ22,49
6,XLOC-008153#XLOC-008153,50
6,XLOC-018598#XLOC-018598,51
6,XLOC-019136#XLOC-019136,52
6,XLOC-019552#XLOC-019552,53
6,gene-evm.model.ptg000005l.347,54
6,XLOC-011729#XLOC-011729,55
6,XLOC-011162#RTXE-DROME#Q9NBX4,56
6,XLOC-003071#SSPO-BOVIN#P98167,57
6,XLOC-018224#XLOC-018224,58
6,XLOC-021975#XLOC-021975,59
6,XLOC-025546#XLOC-025546,60
6,XLOC-016249#XLOC-016249,61
6,gene-evm.model.ptg000018l.30-1,62
6,XLOC-023040#RBM14-BOVIN#Q5EA36,63
6,XLOC-000945#XLOC-000945,64
6,XLOC-024459#MYCN-MARMO#Q61976,65
6,XLOC-000930#XLOC-000930,66
6,XLOC-003134#XLOC-003134,67
6,XLOC-016524#Y2258-MYCTU#O53532,68
6,XLOC-004951#S39AB-BOVIN#Q2YDD4,69
6,XLOC-006443#WWOX-CHICK#Q5F389,70
6,XLOC-018361#XLOC-018361,71
